id,first name,email,phone,is_valid
200,vrishab,vrishab.rohit.jindal.2778@yahoo.com,,0
201,pakshal,pakshal.aditya.reddy.677@hotmail.com,8417757797.0,1
202,rohan,,1440654676.0,0
203,pulkit,pulkit.aditya.jindal.1366@gmail.com,,0
204,vrishab,,1246351029.0,0
205,pakshal,pakshal.ramesh.bhatt.256@iitm.ac.in,8650676663.0,1
206,sujal,sujal.arun.iyengar.2967@hotmail.com,3436297208.0,1
207,raghav,raghav.jayant.ambani.630@yahoo.com,,0
208,vrishab,vrishab.jayant.shetty.930@hotmail.com,9701231535.0,1
209,,rohan.rohit.bhatra.2145@outlook.com,8623414405.0,0
210,raghav,raghav.ramesh.ambani.1640@hotmail.com,1526723719.0,1
211,madhav,madhav.ramesh.ambani.720hotmail@com,9532273208.0,0
212,,rohan.jayant.reddy.1291@gmail.com,3738900744.0,0
213,madhav,madhav.arun.shetty.4048@outlook.com,,0
214,madhav,madhav.aditya.bhatra.539@hotmail.com,,0
215,pakshal,pakshal.aditya.bhatra.1027@hotmail.com,9471306442.0,1
216,pulkit,pulkit.ramesh.iyengar.1052gmail.,5150074940.0,0
217,rohan,rohan.arun.reddy.1349@yahoo.com,5990610098.0,1
218,rohan,rohan.jayant.bhatra.2053hotmail@com,2178758213.0,0
219,vrishab,vrishab.arun.bhatt.1403@gmail.com,7894019119.0,1
220,sujal,,3744446292.0,0
221,pulkit,pulkit.arun.jindal.2437@iitm.ac.in,2947957237.0,1
222,pulkit,pulkit.rohit.ambani.3805@yahoo.com,6171239466.0,1
223,pakshal,pakshal.ramesh.iyengar.2830@yahoo.com,9484167278.0,1
224,rohan,rohan.aditya.bhatra.2615@yahoo.com,6333223513.0,1
225,pulkit,pulkit.arun.bhatt.794@iitm.ac.in,,0
226,pakshal,pakshal.arun.iyengar.4733@iitm.ac.in,8392190335.0,1
227,pulkit,pulkit.aditya.ambani.4086gmail.,9070568519.0,0
228,pulkit,pulkit.aditya.ambani.1973@yahoo.com,2515672889.0,1
229,pulkit,pulkit.aditya.ambani.2341@hotmail.com,3305069227.0,1
230,madhav,madhav.jayant.iyengar.3304hotmail@com,2571688961.0,0
231,rohan,rohan.arun.iyengar.4533@outlook.com,,0
232,raghav,,5187948804.0,0
233,rohan,rohan.jayant.bhatt.1631@iitm.ac.in,1172893522.0,1
234,vrishab,vrishab.jayant.ambani.4255@yahoo.com,2962750929.0,1
235,rohan,rohan.jayant.bhatt.3220@gmail.com,,0
236,raghav,raghav.jayant.bhatra.3413@outlook.com,7801948900.0,1
237,pulkit,pulkit.jayant.shetty.421@outlook.com,7801180691.0,1
238,vrishab,vrishab.ramesh.jindal.1211@iitm.ac.in,2040226318.0,1
239,sujal,sujal.rohit.iyengar.3431@hotmail.com,5945359606.0,1
240,rohan,rohan.aditya.ambani.511@outlook.com,4031281545.0,1
241,raghav,raghav.ramesh.ambani.4305@hotmail.com,6913417379.0,1
242,rohan,rohan.jayant.iyengar.2166@iitm.ac.in,7915226263.0,1
243,,raghav.aditya.reddy.1843@hotmail.com,9513743139.0,0
244,raghav,raghav.rohit.iyengar.4592@outlook.com,6469458472.0,1
245,vrishab,vrishab.aditya.jindal.3233@yahoo.com,8809871735.0,1
246,sujal,sujal.jayant.bhatra.2838@iitm.ac.in,,0
247,madhav,madhav.aditya.reddy.4605@gmail.com,8285000265.0,1
248,rohan,rohan.ramesh.shetty.1987@iitm.ac.in,9807970435.0,1
249,sujal,sujal.kumar.jindal.2706@iitm.ac.in,8375996697.0,1
250,sujal,sujal.aditya.bhatt.3334@yahoo.com,7338081696.0,1
251,,raghav.jayant.singh.733@gmail.com,4957687327.0,0
252,pakshal,pakshal.rohit.ambani.1527@gmail.com,9272277508.0,1
253,,raghav.aditya.bhatra.2745@outlook.com,6517150278.0,0
254,pulkit,,2420277403.0,0
255,sujal,sujal.ramesh.iyengar.2417@outlook.com,4252504650.0,1
256,pakshal,pakshal.ramesh.jindal.3504@hotmail.com,7508080884.0,1
257,vrishab,vrishab.kumar.bhatt.1152@gmail.com,7345617046.0,1
258,raghav,,8532327465.0,0
259,vrishab,vrishab.aditya.singh.2143@gmail.com,8102515984.0,1
260,vrishab,vrishab.kumar.ambani.2514@iitm,5980945846.0,0
261,,raghav.aditya.shetty.1796@hotmail.com,5111832212.0,0
262,vrishab,vrishab.aditya.iyengar.3407@iitm.ac.in,9215400091.0,1
263,vrishab,vrishab.aditya.bhatra.4305@outlook.com,8317619798.0,1
264,sujal,sujal.kumar.shetty.4692@yahoo.com,3304937838.0,1
265,pakshal,pakshal.aditya.ambani.953hotmail@com,3921845810.0,0
266,pulkit,pulkit.kumar.ambani.1081hotmail@com,7499349987.0,0
267,pulkit,pulkit.ramesh.reddy.179@iitm.ac.in,6995554056.0,1
268,rohan,rohan.kumar.singh.3471@gmail.com,9863781331.0,1
269,pulkit,pulkit.kumar.reddy.3350@hotmail.com,,0
