id,first name,email,phone,is_valid
700,sujal,sujal.ramesh.bhatra.2731hotmail@com,1198168828.0,0
701,pakshal,,1861379367.0,0
702,raghav,raghav.rohit.bhatra.2234gmail.,1641327636.0,0
703,rohan,,7625110398.0,0
704,vrishab,vrishab.jayant.shetty.1404@gmail.com,,0
705,madhav,madhav.kumar.ambani.414@gmail.com,5749919939.0,1
706,,pulkit.rohit.bhatt.4884@outlook.com,6822362090.0,0
707,sujal,,3011229698.0,0
708,pulkit,pulkit.arun.shetty.1178@iitm.ac.in,,0
709,vrishab,vrishab.ramesh.iyengar.2661@gmail.com,7241803245.0,1
710,,pulkit.kumar.iyengar.3922@outlook.com,6028554337.0,0
711,,sujal.rohit.bhatra.2670@outlook.com,7274839226.0,0
712,,madhav.aditya.bhatt.3952@outlook.com,2648479139.0,0
713,pulkit,pulkit.rohit.iyengar.4461@gmail.com,3981279224.0,1
714,vrishab,vrishab.ramesh.ambani.937@hotmail.com,7283143895.0,1
715,madhav,,3569503643.0,0
716,vrishab,vrishab.ramesh.singh.742@iitm.ac.in,4478233603.0,1
717,pulkit,pulkit.aditya.reddy.3195@yahoo.com,2920536604.0,1
718,raghav,raghav.aditya.reddy.3562@outlook.com,9225368829.0,1
719,sujal,sujal.aditya.jindal.1045@yahoo.com,8956449152.0,1
720,rohan,rohan.kumar.singh.4588@yahoo,2542943951.0,0
721,pulkit,pulkit.ramesh.jindal.2607@hotmail.com,,0
722,rohan,,1597296237.0,0
723,madhav,madhav.jayant.bhatt.1101@iitm.ac.in,1049833464.0,1
724,vrishab,vrishab.rohit.jindal.1113@outlook.com,,0
725,pulkit,pulkit.aditya.bhatt.3723@yahoo.com,,0
726,,madhav.arun.jindal.4953@outlook.com,9621846170.0,0
727,raghav,,5201480686.0,0
728,rohan,rohan.rohit.bhatra.1164@outlook.com,6495068652.0,1
729,rohan,rohan.kumar.shetty.3871@iitm,3872118270.0,0
730,rohan,,8446676790.0,0
731,raghav,raghav.arun.singh.4896@out@look.com,8513724361.0,0
732,rohan,rohan.arun.singh.2391@gmail.com,,0
733,madhav,,2082550715.0,0
734,sujal,sujal.ramesh.bhatra.4947@yahoo.com,7213328054.0,1
735,pakshal,pakshal.ramesh.shetty.3973@iitm.ac.in,5437090032.0,1
736,rohan,rohan.arun.ambani.3383@hotmail.com,8603671758.0,1
737,vrishab,vrishab.ramesh.bhatt.1728@yahoo.com,8910612643.0,1
738,pakshal,,7287896242.0,0
