id,first name,email,phone,is_valid
600,madhav,,8030400668.0,0
601,pulkit,pulkit.arun.iyengar.159@iitm.ac.in,1653476296.0,1
602,sujal,sujal.jayant.reddy.1025@iitm.ac.in,8366710477.0,1
603,sujal,,6227783030.0,0
604,raghav,raghav.rohit.singh.2706@gmail.com,,0
605,rohan,rohan.rohit.bhatt.1575@hotmail.com,1054183126.0,1
606,pakshal,pakshal.rohit.shetty.275@outlook.com,6150438341.0,1
607,vrishab,vrishab.arun.ambani.3188@outlook.com,2387545832.0,1
608,rohan,rohan.kumar.reddy.3943@yahoo.com,8037389869.0,1
609,sujal,sujal.ramesh.shetty.926@iitm.ac.in,7159677390.0,1
610,pakshal,pakshal.jayant.bhatra.3243@gmail.com,4389346722.0,1
611,rohan,rohan.ramesh.ambani.4885@iitm.ac.in,5960652625.0,1
612,madhav,madhav.rohit.bhatra.2773@yahoo.com,3684922912.0,1
613,vrishab,,3095269219.0,0
614,vrishab,vrishab.arun.singh.3095@hotmail.com,5873637580.0,1
615,vrishab,vrishab.rohit.reddy.4447@outlook.com,8288721755.0,1
616,,madhav.aditya.iyengar.2652@gmail.com,8440611705.0,0
617,rohan,rohan.arun.ambani.2423@gmail.com,,0
618,,pakshal.ramesh.jindal.1520@yahoo.com,4792165664.0,0
619,vrishab,,3368536195.0,0
620,vrishab,vrishab.jayant.bhatra.789@iitm.ac.in,1286387753.0,1
621,pakshal,pakshal.kumar.shetty.877@gmail.com,3084649514.0,1
622,,rohan.ramesh.jindal.4014@outlook.com,2099247629.0,0
623,vrishab,vrishab.kumar.singh.1710@hotmail.com,8111389362.0,1
624,pakshal,pakshal.ramesh.singh.2957gmail.,4042699946.0,0
625,pakshal,pakshal.jayant.bhatra.1769@outlook.com,1417124022.0,1
626,pulkit,pulkit.arun.shetty.4311@outlook.com,3821263164.0,1
627,vrishab,vrishab.aditya.jindal.865@gmail.com,,0
628,madhav,,6891490448.0,0
629,madhav,madhav.aditya.shetty.3073@hotmail.com,,0
630,sujal,sujal.ramesh.singh.2331@yahoo.com,3558781873.0,1
631,sujal,sujal.jayant.shetty.1760@yahoo.com,8970258559.0,1
632,,rohan.aditya.bhatt.773@iitm.ac.in,5457043482.0,0
633,,raghav.jayant.shetty.1909@gmail.com,2289789131.0,0
634,vrishab,vrishab.jayant.ambani.1417hotmail@com,9999520085.0,0
635,pulkit,pulkit.kumar.singh.2740@yahoo,8804564187.0,0
636,vrishab,vrishab.ramesh.singh.3134@yahoo.com,5527445083.0,1
637,rohan,rohan.aditya.bhatt.2678@hotmail.com,1948316671.0,1
638,,pulkit.aditya.bhatra.1820@iitm.ac.in,7150116885.0,0
639,raghav,,4201103712.0,0
640,,pulkit.aditya.jindal.1069@hotmail.com,4272906474.0,0
641,pulkit,pulkit.ramesh.shetty.4598@yahoo.com,2057617830.0,1
642,pakshal,pakshal.rohit.iyengar.4719@yahoo.com,,0
643,raghav,raghav.arun.iyengar.2823@outlook.com,,0
644,madhav,madhav.rohit.singh.1913@gmail.com,2605548088.0,1
645,vrishab,vrishab.kumar.shetty.1210@yahoo.com,8817415821.0,1
646,,vrishab.kumar.reddy.3687@outlook.com,3023746966.0,0
647,madhav,madhav.arun.reddy.4496@yahoo.com,5373945362.0,1
648,madhav,madhav.kumar.reddy.1645@hotmail.com,7949105797.0,1
649,vrishab,vrishab.kumar.bhatra.3184gmail.,8131247005.0,0
650,raghav,raghav.ramesh.jindal.1894@yahoo.com,9503145548.0,1
651,pulkit,pulkit.aditya.bhatra.1528@gmail.com,9447304615.0,1
652,madhav,madhav.aditya.reddy.2733@gmail.com,7399212842.0,1
653,raghav,raghav.ramesh.iyengar.2912@outlook.com,7980313867.0,1
654,raghav,raghav.kumar.reddy.3172@yahoo.com,2203423402.0,1
655,pulkit,pulkit.ramesh.bhatt.720@hotmail.com,8429819540.0,1
656,madhav,madhav.aditya.bhatt.3494@outlook.com,,0
657,madhav,madhav.arun.bhatt.4760@yahoo.com,4436425084.0,1
658,vrishab,vrishab.ramesh.bhatt.3524hotmail@com,4938966574.0,0
659,rohan,rohan.ramesh.bhatra.1509@yahoo.com,4778016973.0,1
660,pulkit,pulkit.rohit.reddy.3630@iitm.ac.in,8466111803.0,1
661,sujal,sujal.arun.bhatt.215@yahoo.com,1997216402.0,1
662,,sujal.ramesh.ambani.1099@hotmail.com,7892184524.0,0
663,pulkit,pulkit.rohit.bhatt.1342@hotmail.com,1830044665.0,1
664,pakshal,pakshal.kumar.reddy.3384@hotmail.com,1878587567.0,1
665,pakshal,pakshal.aditya.ambani.2662@hotmail.com,9017737153.0,1
666,pulkit,pulkit.kumar.jindal.2564@hotmail.com,9755342261.0,1
667,pulkit,pulkit.kumar.shetty.4250@outlook.com,7605097681.0,1
668,pulkit,,6545573143.0,0
669,pulkit,pulkit.arun.jindal.2412@hotmail.com,9824210727.0,1
670,pakshal,pakshal.ramesh.ambani.741@hotmail.com,1486068287.0,1
671,pulkit,pulkit.jayant.ambani.205@hotmail.com,6063244930.0,1
672,sujal,sujal.jayant.iyengar.1344@hotmail.com,1530618370.0,1
