id,first name,email,phone,is_valid
100,pulkit,pulkit.jayant.jindal.2731@yahoo.com,,0
101,vrishab,,5673181221.0,0
102,pakshal,pakshal.rohit.singh.4445@iitm.ac.in,7279140605.0,1
103,rohan,rohan.jayant.ambani.3622@yahoo.com,4264134512.0,1
104,rohan,rohan.arun.reddy.3590@outlook.com,3081821325.0,1
105,pakshal,pakshal.arun.bhatt.2546@yahoo,3365835550.0,0
106,pakshal,,5956268238.0,0
107,pakshal,pakshal.rohit.ambani.1997@outlook.com,5916199809.0,1
108,rohan,rohan.ramesh.bhatt.572@iitm,7077131430.0,0
109,vrishab,vrishab.jayant.ambani.1218@hotmail.com,,0
110,raghav,raghav.arun.shetty.4685@iitm,2644847276.0,0
111,vrishab,vrishab.rohit.jindal.3163@iitm.ac.in,5948254671.0,1
112,rohan,rohan.aditya.iyengar.823@yahoo,2891100776.0,0
113,pulkit,pulkit.ramesh.bhatt.613@gmail.com,,0
114,pakshal,pakshal.jayant.jindal.2595@iitm.ac.in,3323646093.0,1
115,vrishab,vrishab.ramesh.reddy.1864gmail.,4207337120.0,0
116,pulkit,pulkit.arun.reddy.238@yahoo.com,5492496998.0,1
117,raghav,raghav.jayant.jindal.1193@gmail.com,1773338452.0,1
118,rohan,,1614685938.0,0
119,raghav,raghav.ramesh.singh.3812@gmail.com,9165632300.0,1
120,pulkit,,8259841263.0,0
121,pulkit,pulkit.rohit.bhatra.1944@hotmail.com,8298348088.0,1
122,,raghav.kumar.singh.4968@outlook.com,8495457335.0,0
123,pakshal,pakshal.jayant.shetty.1558@gmail.com,7961674558.0,1
124,vrishab,vrishab.ramesh.singh.2531@outlook.com,8682023540.0,1
125,raghav,raghav.ramesh.bhatt.739@iitm.ac.in,,0
126,madhav,,6001680218.0,0
127,pakshal,,5151086814.0,0
128,pakshal,,3304560537.0,0
129,rohan,rohan.rohit.iyengar.888hotmail@com,3898400928.0,0
130,rohan,rohan.jayant.shetty.518@yahoo,8306070814.0,0
131,sujal,sujal.kumar.reddy.4036@outlook.com,1498733671.0,1
132,madhav,madhav.rohit.ambani.3040@yahoo.com,9381721143.0,1
133,madhav,madhav.rohit.ambani.1935@yahoo.com,8969097897.0,1
134,rohan,rohan.ramesh.iyengar.497@gmail.com,7004964045.0,1
135,,pakshal.rohit.bhatra.1738@iitm.ac.in,1091729577.0,0
136,pakshal,pakshal.aditya.shetty.563@iitm.ac.in,3380304322.0,1
137,raghav,raghav.arun.singh.2272@iitm.ac.in,1749459431.0,1
138,sujal,sujal.jayant.shetty.4824@yahoo.com,2390587865.0,1
139,sujal,,5567946981.0,0
140,rohan,rohan.kumar.ambani.4128@gmail.com,,0
141,sujal,sujal.rohit.jindal.3493@gmail.com,,0
142,sujal,sujal.jayant.bhatt.539@outlook.com,,0
143,rohan,rohan.jayant.ambani.4142@gmail.com,7895255573.0,1
144,pakshal,pakshal.ramesh.shetty.3524@hotmail.com,,0
145,pulkit,,7127904756.0,0
146,vrishab,vrishab.rohit.bhatra.748@hotmail.com,4572433066.0,1
147,sujal,sujal.ramesh.iyengar.1066@out@look.com,3389594115.0,0
148,raghav,,9454207717.0,0
149,rohan,rohan.aditya.shetty.1268@gmail.com,8115628227.0,1
150,raghav,raghav.aditya.iyengar.942@hotmail.com,8570333548.0,1
151,pakshal,pakshal.aditya.singh.4989@yahoo.com,2148679234.0,1
152,vrishab,vrishab.jayant.iyengar.2876@outlook.com,1026224160.0,1
153,vrishab,vrishab.rohit.bhatra.1163@outlook.com,5173893550.0,1
154,madhav,,2464137110.0,0
155,pakshal,pakshal.aditya.bhatra.431@gmail.com,1668210614.0,1
156,raghav,,7902338893.0,0
157,pakshal,pakshal.aditya.bhatra.2828@outlook.com,,0
158,vrishab,vrishab.jayant.singh.1807@iitm.ac.in,3574081104.0,1
159,raghav,raghav.arun.bhatt.2094@gmail.com,6538133249.0,1
160,pulkit,pulkit.ramesh.jindal.1440@outlook.com,5849815676.0,1
161,rohan,rohan.ramesh.iyengar.591@out@look.com,4187043237.0,0
162,sujal,sujal.jayant.jindal.4698@out@look.com,8044354825.0,0
163,sujal,sujal.jayant.bhatt.3770@hotmail.com,9245348297.0,1
164,pakshal,pakshal.kumar.shetty.3570@hotmail.com,7824150224.0,1
165,pakshal,pakshal.jayant.iyengar.1816@outlook.com,1722124509.0,1
166,rohan,rohan.arun.iyengar.2877@gmail.com,4500557310.0,1
167,madhav,madhav.jayant.shetty.1422@iitm.ac.in,3587283948.0,1
168,,pakshal.ramesh.ambani.3801@hotmail.com,7977267911.0,0
169,sujal,sujal.rohit.ambani.2481@yahoo.com,8715177240.0,1
170,rohan,rohan.kumar.reddy.3783@yahoo.com,2940955281.0,1
171,pakshal,pakshal.jayant.bhatra.740@out@look.com,7472806994.0,0
172,pakshal,pakshal.aditya.shetty.2634@gmail.com,7893447569.0,1
173,pulkit,pulkit.kumar.iyengar.691@hotmail.com,1741134891.0,1
174,pulkit,,6509985983.0,0
175,sujal,,2416011033.0,0
176,vrishab,vrishab.ramesh.bhatt.2731@yahoo.com,9939982945.0,1
177,raghav,raghav.ramesh.jindal.1057@yahoo.com,,0
178,pakshal,pakshal.arun.bhatra.3469@yahoo.com,7478908722.0,1
179,raghav,raghav.arun.shetty.2800@iitm.ac.in,3088517710.0,1
180,,madhav.kumar.reddy.829@outlook.com,3261436148.0,0
181,pulkit,,2879792991.0,0
182,,pulkit.aditya.reddy.3678@yahoo.com,6322188162.0,0
183,vrishab,vrishab.aditya.ambani.3783@iitm.ac.in,,0
184,pakshal,,9814045133.0,0
185,,sujal.ramesh.bhatra.2336@hotmail.com,5983503547.0,0
186,sujal,sujal.arun.ambani.2864@out@look.com,4996346509.0,0
187,,rohan.jayant.shetty.3164@gmail.com,5271453859.0,0
188,raghav,raghav.kumar.iyengar.1197@iitm.ac.in,,0
189,pakshal,pakshal.ramesh.ambani.3675@gmail.com,3642900640.0,1
190,,raghav.arun.bhatt.4496@yahoo.com,2817865363.0,0
191,sujal,sujal.kumar.shetty.3440@gmail.com,7969918312.0,1
192,pakshal,pakshal.rohit.singh.4222@yahoo.com,3469810046.0,1
193,pulkit,pulkit.kumar.iyengar.1971@gmail.com,7745949301.0,1
194,rohan,rohan.jayant.bhatra.4310@out@look.com,5382302465.0,0
195,,raghav.jayant.singh.2926@gmail.com,4386667704.0,0
196,,pakshal.aditya.iyengar.1093@hotmail.com,5485387618.0,0
197,vrishab,vrishab.rohit.bhatt.1105@iitm,9860949331.0,0
198,madhav,madhav.kumar.shetty.344@iitm.ac.in,7328203808.0,1
199,raghav,raghav.jayant.singh.2720@hotmail.com,,0
